geoid,b19013001,b19013001_moe
14000US02013000100,69706,4788
14000US02016000100,59167,7737
14000US02016000200,92273,4504
14000US02020000101,112575,11269
14000US02020000102,86004,17769
14000US02020000201,98571,12836
14000US02020000202,107717,14998
14000US02020000203,117151,12794
14000US02020000204,141346,28068
14000US02020000300,59938,10077
14000US02020000400,56389,5548
14000US02020000500,52639,9672
14000US02090001300,75365,20901
14000US02020000600,42283,13350
14000US02020000701,77188,10087
14000US02020000702,70982,6208
14000US02020000703,54750,26225
14000US02020000801,63197,9748
14000US02020000802,62969,4536
14000US02020000901,41310,9916
14000US02020000902,48025,12983
14000US02020001000,50349,11694
14000US02020001100,58693,27328
14000US02020001200,102250,28421
14000US02020001300,131591,19489
14000US02020001400,51916,6691
14000US02020001500,102054,25296
14000US02020001601,88804,14090
14000US02020001602,78619,9870
14000US02020001701,93219,14570
14000US02020001702,94944,7346
14000US02020001731,64568,28626
14000US02020001732,100985,5862
14000US02020001801,75043,6947
14000US02020001802,60159,5308
14000US02020001900,53750,6339
14000US02020002000,36653,8059
14000US02020002100,55170,11326
14000US02020002201,93472,13538
14000US02020002202,59271,12910
14000US02020002301,124318,15891
14000US02020002302,85795,10505
14000US02090001900,80081,9008
14000US02020002303,74673,7081
14000US02020002400,68158,18027
14000US02020002501,91667,7271
14000US02020002502,81563,11265
14000US02170000101,44911,21724
14000US02020002601,84732,8637
14000US02020002602,102675,7446
14000US02020002603,112967,8333
14000US02020002702,115128,13967
14000US02020002711,119625,20519
14000US02020002712,79231,13727
14000US02020002811,65346,5049
14000US02020002812,149813,18963
14000US02020002813,166563,11042
14000US02020002821,152978,9760
14000US02020002822,136250,20643
14000US02020002823,169091,15225
14000US02020002900,105136,22229
14000US02050000100,37246,1615
14000US02050000200,89000,12029
14000US02050000300,40250,10293
14000US02060000100,84688,10676
14000US02068000100,84196,7160
14000US02070000100,39600,2891
14000US02070000200,74250,5604
14000US02090000100,34345,21950
14000US02090000200,61458,17142
14000US02090000300,50966,3962
14000US02090000400,75463,12720
14000US02090000500,52111,11728
14000US02090000600,87634,11906
14000US02090000700,79009,14378
14000US02090000800,91383,7189
14000US02090000900,95871,10581
14000US02090001000,75714,21436
14000US02090001100,56161,9029
14000US02090001200,93478,16294
14000US02090001400,79111,10650
14000US02090001500,82718,10495
14000US02090001600,81735,12335
14000US02090001700,70357,11765
14000US02090001800,63708,10618
14000US02100000100,64342,19415
14000US02105000200,41667,9779
14000US02105000300,64632,6154
14000US02110000100,108304,20617
14000US02110000200,97016,13533
14000US02110000300,83801,7558
14000US02110000400,73313,9894
14000US02110000500,62188,10282
14000US02110000600,88872,5901
14000US02122000100,38750,6218
14000US02122000200,56838,6437
14000US02122000300,74655,20164
14000US02122000400,76743,8594
14000US02122000500,71152,8037
14000US02122000600,61007,5635
14000US02122000700,78831,12305
14000US02122000800,53882,2985
14000US02122000900,85990,8281
14000US02122001000,56157,3187
14000US02122001100,67554,4440
14000US02122001200,53542,7458
14000US02122001300,74000,11550
14000US02130000100,85362,6143
14000US02130000200,65754,3668
14000US02130000300,50977,3425
14000US02130000400,89792,7737
14000US02150000100,64531,8917
14000US02150000200,95352,11582
14000US02170000102,56938,10968
14000US02150000300,68750,9654
14000US02150000400,62375,29113
14000US02150000500,82905,17363
14000US02158000100,35539,3260
14000US02164000100,46406,5186
14000US02170000200,41806,5375
14000US02170000300,98616,9380
14000US02170000401,50625,6451
14000US02170000402,51932,6500
14000US02170000501,65833,16809
14000US02170000502,58798,9286
14000US02170000601,90037,8770
14000US02170000603,98281,12722
14000US02170000604,75739,12537
14000US02170000701,63819,11522
14000US02170000703,65625,13564
14000US02170000705,77109,8510
14000US02170000706,77993,7272
14000US02170000800,62266,11655
14000US02170000900,56295,9042
14000US02170001001,89826,8780
14000US02170001003,67333,15141
14000US02170001004,98455,7230
14000US02170001100,100888,6563
14000US02188000200,84559,12367
14000US02170001201,63844,3852
14000US02170001202,84632,5995
14000US02170001300,75234,4665
14000US02180000100,41696,3197
14000US02180000200,81429,3016
14000US02185000100,83205,13775
14000US02185000200,65956,3675
14000US02185000300,,
14000US02188000100,42841,3513
14000US02195000200,66907,2820
14000US02198000100,46411,6371
14000US02198000200,63462,4243
14000US02198000300,,
14000US02198940100,53409,9595
14000US02220000100,79091,13204
14000US02220000200,65020,3251
14000US02230000100,72237,5731
14000US02240000100,53375,5455
14000US02240000400,81855,5967
14000US02261000100,52419,11601
